,Fighter1,Fighter2,Winner,WeightClass
0,Ricardo Ramos,Aiemann Zahabi,Ricardo Ramos,Bantamweight
0,Derek Brunson,Lyoto Machida,Derek Brunson,Middleweight
0,Colby Covington,Demian Maia,Colby Covington,Welterweight
0,Pedro Munhoz,Rob Font,Pedro Munhoz,Bantamweight
0,Francisco Trinaldo,Jim Miller,Francisco Trinaldo,Lightweight
0,Thiago Santos,Jack Hermansson,Thiago Santos,Middleweight
0,John Lineker,Marlon Vera,John Lineker,Bantamweight
0,Vicente Luque,Niko Price,Vicente Luque,Welterweight
0,Antonio Carlos Junior,Jack Marshman,Antonio Carlos Junior,Middleweight
0,Jared Gordon,Hacran Dias,Jared Gordon,Lightweight
0,Elizeu Zaleski dos Santos,Max Griffin,Elizeu Zaleski dos Santos,Welterweight
0,Deiveson Figueiredo,Jarred Brooks,Deiveson Figueiredo,Flyweight
0,Marcelo Golm,Christian Colombo,Marcelo Golm,Heavyweight
0,Darren Till,Donald Cerrone,Darren Till,Welterweight
0,Karolina Kowalkiewicz,Jodie Esquibel,Karolina Kowalkiewicz,Women's Strawweight
0,Jan Blachowicz,Devin Clark,Jan Blachowicz,Light Heavyweight
0,Oskar Piechota,Jonathan Wilson,Oskar Piechota,Middleweight
0,Marcin Held,Nasrat Haqparast,Marcin Held,Lightweight
0,Brian Kelleher,Damian Stasiak,Brian Kelleher,Bantamweight
0,Ramazan Emeev,Sam Alvey,Ramazan Emeev,Middleweight
0,Andre Fili,Artem Lobov,Andre Fili,Featherweight
0,Warlley Alves,Salim Touahri,Warlley Alves,Welterweight
0,Aspen Ladd,Lina Lansberg,Aspen Ladd,Women's Bantamweight
0,Josh Emmett,Felipe Arantes,Josh Emmett,Featherweight
0,Tony Ferguson,Kevin Lee,Tony Ferguson,Lightweight
