,Fighter1,Fighter2,outcome,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
1305,Viscardi Andrade,Gasan Umalatov,1,1.0299999713897705,-1.3299999237060547,0.030000001192092896,0.04000002145767212,1.1799999475479126,0.32999998331069946,-0.2399999499320984,0.30000001192092896
1306,Jimmie Rivera,Pedro Munhoz,1,0.32000017166137695,-1.940000057220459,0.010000020265579224,0.050000011920928955,-0.15999996662139893,0.08000001311302185,0.3999999761581421,-1.399999976158142
1307,Bruno Korea,Matheus Nicolau,0,-1.9900000095367432,0.9600000381469727,-0.17999997735023499,-0.28999999165534973,-2.069999933242798,-0.6600000262260437,-0.75,-1.7000000476837158
1308,Paddy Holohan,Louis Smolka,0,-1.75,-0.5800001621246338,0.010000020265579224,-0.0599999725818634,1.28000009059906,0.12999999523162842,0.3999999761581421,-0.9000000953674316
1309,Norman Parke,Reza Madadi,1,0.5499999523162842,-0.42999982833862305,-0.11000001430511475,-0.020000040531158447,-1.190000057220459,-0.07000002264976501,-0.12000000476837158,-0.5
1311,Jon Delos Reyes,Neil Seery,0,-0.5699999332427979,0.34999990463256836,-0.030000001192092896,-0.06999999284744263,2.4200000762939453,0.559999942779541,0.020000040531158447,0.2999999523162842
1312,Stevie Ray,Mickael Lebout,1,0.6600000858306885,-0.7100000381469727,0.10999998450279236,0.009999990463256836,0.8500000238418579,0.550000011920929,-0.050000011920928955,0.800000011920929
1313,Ericka Almeida,Aisling Daly,0,-1.850000023841858,1.9299999475479126,-0.12999999523162842,-0.12000000476837158,-1.6500000953674316,-0.07999998331069946,0.03999999165534973,-0.8999999761581421
1314,Scott Askham,Krzysztof Jotko,0,0.1700000762939453,1.6299999952316284,0.02000001072883606,-0.06999999284744263,-0.6800000071525574,-0.1899999976158142,-0.2200000286102295,0.5999999642372131
1315,Tom Breese,Cathal Pendred,1,1.3599998950958252,-0.440000057220459,0.050000011920928955,0.09999996423721313,-2.4600000381469727,-0.23000000417232513,-0.10999995470046997,-0.09999999403953552
1316,Rob Whiteford,Darren Elkins,0,-0.9600000381469727,-0.7000000476837158,0.09000000357627869,0.07999998331069946,-0.7400001287460327,-0.04999998211860657,-0.15000003576278687,-1.399999976158142
1317,Bubba Bush,Garreth McLellan,0,-2.929999828338623,4.070000171661377,0.009999990463256836,-0.19999998807907104,1.6699999570846558,0.2800000011920929,0.2600000202655792,-0.8999999761581421
1318,Daniel Cormier,Alexander Gustafsson,1,-0.2999997138977051,-0.880000114440918,0.09000000357627869,0.050000011920928955,0.09000003337860107,0.019999980926513672,-0.0700000524520874,0.0
1319,Rashad Evans,Ryan Bader,0,-0.679999828338623,1.03000009059906,-0.06000000238418579,-0.07999998331069946,-0.3899998664855957,0.0,-0.06999999284744263,-0.4000000059604645
1320,Shawn Jordan,Ruslan Magomedov,0,-1.1500000953674316,1.8299999237060547,0.030000001192092896,-0.1900000274181366,1.6399999856948853,-0.6200000047683716,-0.12000000476837158,0.10000000149011612
1321,Joseph Benavidez,Ali Bagautinov,1,0.5900001525878906,-0.5899999141693115,-0.09999999403953552,0.12000000476837158,-1.25,-0.09000000357627869,0.010000050067901611,0.3999999761581421
1322,Julianna Pena,Jessica Eye,1,-0.4700000286102295,-2.119999885559082,0.15999996662139893,-0.1499999761581421,2.200000047683716,-0.1899999976158142,-0.3800000250339508,0.40000003576278687
1323,Yair Rodriguez,Dan Hooker,1,-0.16000008583068848,-1.7900002002716064,0.0,0.019999980926513672,0.7599999308586121,-0.019999980926513672,-0.13999998569488525,0.7999999523162842
1324,Albert Tumenov,Alan Jouban,1,-1.6499998569488525,-0.1400001049041748,-0.10999998450279236,-0.020000040531158447,-0.3199999928474426,-0.30000001192092896,0.12999999523162842,0.0
1325,Islam Makhachev,Adriano Martins,0,0.5299999713897705,-1.4000000953674316,0.25,0.0,3.630000114440918,0.050000011920928955,0.1899999976158142,0.7000000476837158
1326,Rose Namajunas,Angela Hill,1,-1.7000000476837158,-1.3500001430511475,-0.09000000357627869,-0.019999980926513672,2.0199999809265137,0.0899999737739563,-0.27000004053115845,0.8999999761581421
1327,Francisco Trevino,Sage Northcutt,0,-0.929999828338623,0.46000003814697266,-0.09999999403953552,0.06000000238418579,-0.8399999141693115,-0.12000000476837158,0.0,-0.6000000238418579
1328,Chris Cariaso,Sergio Pettis,0,-0.3900001049041748,-0.4500000476837158,0.06000000238418579,-0.050000011920928955,0.12000000476837158,0.0,-0.12000000476837158,0.30000001192092896
1329,Viktor Pesta,Derrick Lewis,0,-1.3200000524520874,0.9299999475479126,-0.13999998569488525,0.050000011920928955,2.7100000381469727,0.02000001072883606,0.4300000071525574,0.0
1330,Roy Nelson,Josh Barnett,0,-1.0199999809265137,2.680000066757202,-0.13999998569488525,-0.10999998450279236,-0.12000000476837158,-0.2800000011920929,0.09999996423721313,-1.2999999523162842
1331,Uriah Hall,Gegard Mousasi,1,-0.309999942779541,2.3999998569488525,0.019999980926513672,-0.1600000262260437,-0.6600000262260437,-0.2200000286102295,0.12000000476837158,-0.800000011920929
1332,Chico Camus,Kyoji Horiguchi,0,-1.0199999809265137,0.009999990463256836,-0.03999999165534973,0.019999980926513672,-1.2300000190734863,-0.03999999165534973,0.17000001668930054,0.4000000059604645
1333,George Roop,Takeya Mizugaki,0,0.06000018119812012,-0.7999999523162842,-0.030000001192092896,0.030000030994415283,-0.4100000858306885,0.0,-0.11000001430511475,0.0
1334,Katsunori Kikuno,Diego Brandao,0,-0.2999999523162842,-0.9100000858306885,-0.06999999284744263,-0.009999990463256836,-1.3300000429153442,0.06999999284744263,-0.04000002145767212,0.19999998807907104
1336,Li Jingliang,Keita Nakamura,0,2.630000114440918,-0.15000009536743164,0.06999999284744263,0.020000040531158447,-0.8500000238418579,-0.23000001907348633,-0.06000000238418579,-0.4000000059604645
1337,Yusuke Kasuya,Nick Hein,0,-0.2999999523162842,1.750000238418579,0.06000000238418579,-0.1599999964237213,0.4100000262260437,0.0,-0.8299999833106995,0.0
1338,Kajan Johnson,Naoyuki Kotani,1,1.4100000858306885,-1.190000057220459,0.13999998569488525,0.11000001430511475,1.1600000858306885,0.21000000834465027,0.20000001788139343,-0.6000000238418579
1339,Roger Zapata,Shinsho Anzai,0,-0.630000114440918,-1.619999885559082,-0.06999999284744263,-0.0899999737739563,-1.8300000429153442,-0.1599999964237213,0.06000000238418579,1.399999976158142
1340,John Dodson,Demetrious Johnson,0,-0.009999990463256836,1.709999918937683,-0.1300000250339508,-0.030000030994415283,-2.7699999809265137,-0.25,0.1600000262260437,-0.6000000238418579
1341,Frank Mir,Andrei Arlovski,0,-1.059999942779541,1.1899998188018799,0.050000011920928955,-0.1899999976158142,1.4900000095367432,0.06000000238418579,-0.26999998092651367,1.7000000476837158
1342,Anthony Johnson,Jimi Manuwa,1,-0.08999991416931152,-1.909999966621399,-0.0599999725818634,0.11000001430511475,1.8500001430511475,0.36000001430511475,0.06000000238418579,0.20000001788139343
1343,Corey Anderson,Jan Blachowicz,1,0.9200000762939453,-0.8600001335144043,-0.02000001072883606,0.06999999284744263,3.7300000190734863,0.030000030994415283,-0.06999999284744263,-0.30000001192092896
1344,Paige VanZant,Alex Chambers,1,0.5,-2.31000018119812,-0.030000030994415283,-0.06999999284744263,-0.970000147819519,-0.06999999284744263,-0.16999998688697815,-0.30000001192092896
1345,Paul Felder,Ross Pearson,0,-0.06999993324279785,-0.8399999141693115,0.030000001192092896,-0.12000000476837158,-0.4300000071525574,-0.04999998211860657,-0.1600000262260437,0.4000000059604645
1346,John Lineker,Francisco Rivera,1,1.1499996185302734,0.7899999618530273,-0.009999990463256836,-0.12000000476837158,-0.49000000953674316,-0.029999971389770508,0.009999990463256836,0.0
1347,Raquel Pennington,Jessica Andrade,1,-2.7899999618530273,-1.570000171661377,-0.019999980926513672,0.12000000476837158,-1.9500000476837158,-0.22999998927116394,-0.11000001430511475,0.6000000238418579
1348,Clay Collard,Tiago Trator,0,0.5299997329711914,0.7699999809265137,-0.030000001192092896,-0.0899999737739563,2.179999828338623,0.2799999713897705,0.37999996542930603,0.19999998807907104
1349,Ron Stallings,Joe Riggs,0,0.809999942779541,1.5699999332427979,0.09000003337860107,-0.06000000238418579,-2.450000047683716,-0.550000011920929,0.0899999737739563,-0.6000000238418579
1350,Nazareno Malegarie,Joaquim Silva,0,0.7999999523162842,0.06999993324279785,0.009999990463256836,0.050000011920928955,1.0,0.33000001311302185,-0.6499999761581421,-0.30000001192092896
1351,Charles Oliveira,Max Holloway,0,-3.179999828338623,-0.8500001430511475,0.06999999284744263,-0.13999998569488525,2.549999952316284,-0.39000001549720764,-0.22999995946884155,2.299999952316284
1352,Erick Silva,Neil Magny,0,-1.3399999141693115,2.1399998664855957,0.0,-0.06999999284744263,-1.9799998998641968,-0.12000000476837158,-0.04000002145767212,1.0999999046325684
1353,Patrick Cote,Joshua Burkman,1,0.11999988555908203,0.07999992370605469,0.04999998211860657,-0.030000001192092896,-1.8499999046325684,-0.1600000113248825,-0.2900000214576721,-0.10000000894069672
1354,Chad Laprise,Francisco Trinaldo,0,1.4900000095367432,1.1399998664855957,-0.030000001192092896,0.050000011920928955,-0.1499999761581421,0.07000002264976501,0.1499999761581421,-0.5
1355,Tony Sims,Olivier Aubin-Mercier,0,-0.9700000286102295,-1.9300000667572021,0.10000002384185791,0.06999999284744263,-2.3999998569488525,0.15000000596046448,-0.32999998331069946,0.09999996423721313
1356,Valerie Letourneau,Maryna Moroz,1,1.3600001335144043,1.6100001335144043,0.1300000101327896,0.029999971389770508,0.5699999928474426,0.2499999850988388,0.1900000274181366,-0.30000001192092896
1357,Sam Stout,Frankie Perez,0,2.5300002098083496,1.9099998474121094,-0.12999999523162842,0.029999971389770508,-1.1200000047683716,-0.030000001192092896,0.26999998092651367,-0.20000001788139343
1358,Felipe Arantes,Yves Jabouin,1,-0.690000057220459,-0.26999998092651367,0.03999999165534973,0.019999980926513672,-1.0099999904632568,-0.1300000250339508,-0.4099999964237213,0.5999999642372131
1359,Nikita Krylov,Marcos Rogerio de Lima,1,2.25,-1.200000286102295,0.08000004291534424,-0.050000011920928955,0.3700000047683716,0.1599999964237213,0.04999998211860657,0.5
1360,Chris Beal,Chris Kelades,0,1.0499999523162842,0.5399999618530273,-0.08000001311302185,0.1300000250339508,0.5600000619888306,0.3999999761581421,0.25,-0.10000000894069672
1361,Elias Silverio,Shane Campbell,0,-0.31999993324279785,-0.2200000286102295,-0.09999996423721313,-0.04000002145767212,0.25999999046325684,0.09999999403953552,0.030000030994415283,0.20000000298023224
1362,Daniel Jolly,Misha Cirkunov,0,-3.2100000381469727,0.7599999904632568,-0.04999998211860657,-0.2200000286102295,-1.6100001335144043,-0.22999998927116394,0.0,-1.5
1363,Glover Teixeira,Ovince Saint Preux,1,1.0399999618530273,1.059999942779541,-0.030000001192092896,0.10999998450279236,1.2000000476837158,0.03999999165534973,-0.06000000238418579,0.10000002384185791
1364,Michael Johnson,Beneil Dariush,0,0.09000015258789062,1.1200001239776611,-0.10999998450279236,-0.04000002145767212,-0.5399999618530273,0.25,0.010000050067901611,-0.5
1365,Derek Brunson,Sam Alvey,1,0.06000018119812012,-0.6600000858306885,0.0,-0.050000011920928955,2.7800002098083496,0.06999999284744263,0.1600000262260437,0.5
1366,Tim Johnson,Jared Rosholt,0,1.3500001430511475,1.559999942779541,-0.010000020265579224,-0.1499999761581421,-0.7400000095367432,-0.17000000178813934,0.029999971389770508,-0.10000000149011612
1367,Sara McMann,Amanda Nunes,0,-2.1800003051757812,-0.820000171661377,-0.06999999284744263,-0.09000000357627869,2.8499999046325684,0.23999997973442078,-0.12999999523162842,-0.10000002384185791
1368,Geane Herrera,Ray Borg,0,0.20000004768371582,3.1500000953674316,-0.16999998688697815,0.04999998211860657,-2.080000162124634,-0.06999999284744263,-0.009999990463256836,-0.7999999523162842
1369,Oluwale Bamgbose,Uriah Hall,0,-0.9900000095367432,-0.9099998474121094,-0.03999999165534973,0.030000030994415283,0.009999990463256836,-0.04999998211860657,-0.3399999737739563,-0.30000001192092896
1370,Chris Camozzi,Tom Watson,1,-0.4400002956390381,-1.4499998092651367,0.0,0.06000000238418579,0.12000000476837158,0.11999999731779099,0.13999998569488525,0.5
1371,Dustin Ortiz,Willie Gates,1,1.130000114440918,-2.0300002098083496,0.06000000238418579,0.18000000715255737,3.0799999237060547,0.3499999940395355,-0.12999999523162842,-0.30000001192092896
